user_id,click,group,timestamp,age,sessions_last_30d,pages_per_session,time_on_site_min,country,timezone,device_type,browser,connection_speed,is_returning_user,email_subscriber,cart_abandonment_rate,hour_of_day,day_of_week,is_weekend,treatment,converted
1,1,exp,2024-01-01 00:00:00,40,6,0.6405125303853696,12.534587941226544,UK,EST,mobile,chrome,fast,1,0,0.2523802203833888,10,0,0,1,1
2,0,exp,2024-01-01 00:01:00,33,10,1.949748254292766,2.6582282921776104,CA,EST,mobile,chrome,medium,1,0,0.12399243761566295,8,2,0,1,0
3,1,exp,2024-01-01 00:02:00,42,10,0.9358449795659927,3.7386721071502493,UK,EST,tablet,safari,fast,1,0,0.2782579217592528,20,6,1,1,1
4,0,exp,2024-01-01 00:03:00,53,7,2.837832626244263,7.957796374761763,DE,CET,desktop,firefox,slow,1,0,0.1416680774134089,15,1,0,1,0
5,1,exp,2024-01-01 00:04:00,32,12,10.360600425234505,6.073175783726433,US,EST,mobile,edge,medium,1,0,0.4135765241208384,14,1,0,1,1
6,0,exp,2024-01-01 00:05:00,32,3,0.5435641390681318,5.78474391888124,UK,EST,desktop,safari,fast,0,1,0.10911952913569443,2,2,0,1,0
7,1,exp,2024-01-01 00:06:00,53,7,3.288140088418038,13.094959321118363,US,GMT,mobile,chrome,fast,1,0,0.5620267005590737,1,2,0,1,1
8,1,exp,2024-01-01 00:07:00,44,7,6.188087855092446,13.443058763956266,DE,PST,mobile,chrome,medium,1,1,0.5094780025100828,13,5,1,1,1
9,0,exp,2024-01-01 00:08:00,29,8,4.916818633318533,8.501408226459414,US,GMT,mobile,safari,fast,0,1,0.1335051191767685,12,2,0,1,0
10,0,exp,2024-01-01 00:09:00,41,8,0.6614838552146057,0.8207100798669604,US,EST,desktop,chrome,slow,1,0,0.3502576473443376,8,3,0,1,0
11,1,exp,2024-01-01 00:10:00,29,9,2.051722789520059,2.170822366260965,UK,GMT,mobile,chrome,fast,1,0,0.419229381937753,11,2,0,1,1
12,1,exp,2024-01-01 00:11:00,29,7,4.043742854432393,6.030937602235113,US,PST,tablet,chrome,fast,1,0,0.5620899394498015,22,4,0,1,1
13,1,exp,2024-01-01 00:12:00,37,4,1.8883194348106553,4.26545871056849,US,PST,mobile,chrome,fast,1,0,0.3940978932559186,4,3,0,1,1
14,1,exp,2024-01-01 00:13:00,18,9,1.6127902727439556,7.65471268780558,AU,PST,mobile,chrome,fast,1,0,0.36084516414454093,7,3,0,1,1
15,0,exp,2024-01-01 00:14:00,18,12,3.448443662542158,15.796448917382362,AU,GMT,desktop,edge,fast,1,1,0.48018067758846467,23,1,0,1,0
16,1,exp,2024-01-01 00:15:00,28,7,0.13586687013633864,9.305491761803875,UK,CET,mobile,safari,medium,1,0,0.2242395542121576,12,5,1,1,1
17,1,exp,2024-01-01 00:16:00,22,9,0.34857122382885475,18.486484809397332,AU,EST,desktop,chrome,medium,1,0,0.2194733383259196,3,4,0,1,1
18,1,exp,2024-01-01 00:17:00,38,7,6.1438462861959575,8.780467322110718,UK,CET,desktop,firefox,medium,0,0,0.4640898073015052,2,6,1,1,1
19,1,exp,2024-01-01 00:18:00,24,11,1.9234143096280911,8.902637366138922,DE,GMT,mobile,chrome,medium,0,0,0.20521977435224875,8,6,1,1,1
20,1,exp,2024-01-01 00:19:00,18,8,0.41150847327868767,3.463764821011148,US,PST,tablet,chrome,medium,1,0,0.15551078719396544,22,6,1,1,1
21,1,exp,2024-01-01 00:20:00,52,8,4.925193468659651,4.830458931247644,AU,PST,tablet,edge,fast,1,0,0.22260813816215763,18,0,0,1,1
22,0,exp,2024-01-01 00:21:00,32,9,0.5131791229704886,5.102130081390337,UK,CET,mobile,safari,medium,0,0,0.061635587026106886,13,6,1,1,0
23,1,exp,2024-01-01 00:22:00,35,3,4.659733984830828,9.706957549343873,AU,GMT,mobile,chrome,medium,1,0,0.3299124935065067,8,0,0,1,1
24,0,exp,2024-01-01 00:23:00,18,8,4.141257676312171,6.1001360861794485,CA,EST,mobile,chrome,slow,0,0,0.211785205797962,0,2,0,1,0
25,0,exp,2024-01-01 00:24:00,28,9,1.768721398491516,17.622989480068853,AU,GMT,mobile,chrome,medium,1,0,0.20646702373191372,4,0,0,1,0
26,1,exp,2024-01-01 00:25:00,36,6,4.777727843516498,3.8425457365696283,AU,GMT,tablet,chrome,fast,1,1,0.4366600202183912,3,2,0,1,1
